id;level_0;level_1;level_2;level_3;level_4;bezug;motiv_zielbildung;informationsaufnahme;informationsintegration;aktionsauswahl;aktionsausführung;effektkontrolle;utterance;utterance_english;tp;absatz;need_type;recipe_no;step_no;step_component_no;recipe_id;step_component_text;step_text;task_level_0;task_level_1;seq;norm_seq;next_norm_seq;previous_need;penultimate_need
2691;Recipe;Recipe Retrieval;Recipe Request;Recipe Request with Ingredients;explicit;plan;in;offen;offen;offen;offen;offen;Such Soße auf Sahne oder zumindest Milchbasis oder Crème fraîche oder IRgendwas;Search sauce on cream or at least milk-based or crème fraîche or IRgendwas;1;26;fact;0;0;0;0;;;;;11;0,091666667;0,1;Recipe;Preparation
2660;Recipe;Recipe Retrieval;Recipe Request;Recipe Request with Names;explicit;plan;in;offen;offen;offen;offen;offen;Google mal Spargelgratin was da rauskommt . Ob es sowas gibt .;Google asparagus gratin what comes out. Whether there is such a thing.;1;28;fact;0;0;0;0;;;;;12;0,1;0,10833333;Recipe;Recipe
2661;Recipe;Recipe Retrieval;Recipe Request;Recipe Request with Names;explicit;plan;in;offen;offen;in;offen;offen;Also Gemüßeauflauf mit Spargel Tomaten und Paprika mit einer Soße auf ja so einer äh Milch Ei oder Sahnebasis .;So vegetable casserole with asparagus tomatoes and peppers with a sauce on yes such a uh milk egg or cream base.;1;28;fact;0;0;0;0;;;;;13;0,108333333;0,11666667;Recipe;Recipe
2585;Recipe;Request for Information Source;Request for Info Source explicit;;;plan;in;offen;offen;offen;offen;offen;Bei welcher Plattform ?;On which platform?;1;30;fact;0;0;0;0;;;;;14;0,116666667;0,125;Recipe;Recipe
2589;Recipe;Request for Ratings;Display Comment Ratings;;;plan;fertig;in;offen;offen;offen;offen;Ok kannst du Bewertungen anzeigen ?;Ok can you show reviews ?;1;32;fact;0;0;0;0;;;;;15;0,125;0,13333333;Recipe;Recipe
2590;Recipe;Request for Ratings;Display Comment Ratings;;;plan;fertig;in;offen;offen;offen;offen;Bewertungen anzeigen bitte .;Show reviews please .;1;34;fact;0;0;0;0;;;;;16;0,133333333;0,14166667;Recipe;Recipe
2591;Recipe;Request for Ratings;Display Comment Ratings;;;plan;in;offen;offen;offen;offen;offen;Ok dann tu mal die einzelnen Bewertungen her ob da voll viel gut dabei sind oder oder auch mal schlechte;Ok then do times the individual reviews here whether there are full many good or or sometimes bad;1;40;fact;0;0;0;0;;;;;17;0,141666667;0,15;Recipe;Recipe
433;User Search Actions;Navigational Instruction on SERP;;;;plan;in;offen;offen;offen;offen;offen;Geh mal ganz oben in das ähm da wo die an Sterne angezeigt werden .;Go to the top of the um there where the stars are displayed.;1;42;coop;0;0;0;0;;;;;18;0,15;0,15833333;Recipe;Recipe
2594;Recipe;Request for Ratings;Amount Star Ratings;;;plan;in;offen;offen;offen;offen;offen;Nein ich mein die Bewertungen nicht die Kommentare . Die Bewertungen die STERNEbewertungen .;No I mean the ratings not the comments. The ratings the star ratings.;1;42;fact;0;0;0;0;;;;;19;0,158333333;0,16666667;User Search Actions;Recipe
434;User Search Actions;Navigational Instruction on SERP;;;;plan;in;offen;offen;offen;offen;offen;Da siehst du da müsste irgendwo Bewertungen anzeigen stehen .;There you see there should be somewhere ratings show.;1;44;coop;0;0;0;0;;;;;20;0,166666667;0,175;Recipe;User Search Actions
435;User Search Actions;Navigational Instruction on SERP;;;;plan;in;offen;offen;offen;offen;offen;Genau Rezeptstatistik;Exactly recipe statistics;1;46;coop;0;0;0;0;;;;;21;0,175;0,18333333;User Search Actions;Recipe
2592;Recipe;Request for Ratings;Display Comment Ratings;;;plan;in;offen;offen;offen;offen;offen;Und dann vielleicht nochmal extra Bewertungen;And then maybe again extra ratings;1;46;fact;0;0;0;0;;;;;22;0,183333333;0,19166667;User Search Actions;User Search Actions
2595;Recipe;Request for Ratings;Amount Star Ratings;;;plan;in;offen;offen;offen;offen;offen;Ja äh was soll der durch also was so die üblichen Bewertungen sind;Yes uh what should the by so what the usual ratings are;1;48;fact;0;0;0;0;;;;;23;0,191666667;0,2;Recipe;User Search Actions
2596;Recipe;Request for Ratings;Amount Star Ratings;;;plan;in;offen;offen;offen;offen;offen;Sind sind oft null Punkte null Sterne dabei oder viele fünf oder;Are often zero points zero stars in it or many five or;1;50;fact;0;0;0;0;;;;;24;0,2;0,20833333;Recipe;Recipe
1070;Ingredient;Ingredients in Recipe;Ingredients in Recipe - explicit;;;plan;fertig;in;offen;in;offen;offen;Ok . Ähm ok dann tu mal das Rezept her was gehört da rein .;Ok . Um ok then do times the recipe here what belongs there purely.;1;52;fact;0;0;0;0;;;;;25;0,208333333;0,21666667;Recipe;Recipe
1600;Preparation;Preparation Steps;All preparation steps;;;plan;fertig;in;offen;offen;offen;offen;Ok tu mal die Kommentare her oder les mal das Rezept vor wie man wie man es macht .;Ok put the comments here or read the recipe how to make it .;1;54;competence;0;0;0;0;;;;;26;0,216666667;0,225;Ingredient;Recipe
2770;Recipe;Recipe Retrieval;Alternative Recipe Request;explicit;;plan;in;offen;offen;offen;offen;offen;ähm ähm ähm ähm kannst du mal schauen ob es noch andere Rezepte mit Spargelgratin gibt ?;um um um um um can you look if there are other recipes with asparagus gratin ?;1;56;fact;0;0;0;0;;;;;27;0,225;0,23333333;Preparation;Ingredient
2604;Recipe;Recipe Summary;;;;plan;fertig;in;offen;offen;offen;offen;Mhm;Mhm;1;58;fact;0;0;0;0;;;;;28;0,233333333;0,24166667;Recipe;Preparation
436;User Search Actions;Navigational Instruction on SERP;;;;plan;in;offen;offen;offen;offen;offen;Ok und äh kannst du jetzt noch die Restesuche von Chefkoch mal aktivieren ?;Ok and uh can you now still activate the rest search of Chefkoch times ?;1;60;coop;0;0;0;0;;;;;29;0,241666667;0,25;Recipe;Recipe
342;User Command;Recipe Selection;Recipe selection - explicit;;;aktivitaet;fertig;fertig;in;in;offen;offen;ansonsten würde ich jetzt einfach ein Spargelgratin mal machen also einfach nur Spargel mit dieser Sahnesoße von dem zweiten Rezept das du mir rausgesucht hast und;otherwise I would make now just an asparagus gratin times so just asparagus with this cream sauce from the second recipe that you have picked me out and;1;62;coop;0;0;0;0;;;;;30;0,25;0,25833333;User Search Actions;Recipe
2682;Recipe;Recipe Retrieval;Recipe Request;Recipe Request with Ingredients;implicit;aktivitaet;fertig;fertig;in;in;offen;offen;dann ähm vielleicht noch ähm ein Salat mit dem Gemüse dazu ? mit den Tomaten und den Paprika und vielleicht noch mit den restlichen Eiern Rühreier .;then um maybe um a salad with the vegetables ? with the tomatoes and the peppers and maybe with the remaining eggs scrambled eggs .;1;62;fact;0;0;0;0;;;;;31;0,258333333;0,26666667;User Command;User Search Actions
2683;Recipe;Recipe Retrieval;Recipe Request;Recipe Request with Ingredients;implicit;aktivitaet;fertig;fertig;in;offen;offen;offen;Spargel Eier Tomaten Sahne ? Ja .;Asparagus eggs tomato cream ? Yes .;1;66;fact;0;0;0;0;;;;;32;0,266666667;0,275;Recipe;User Command
325;User Command;Ingredient removal;;;;aktivitaet;fertig;fertig;in;in;offen;offen;Dann lassen wir halt die Kartoffeln weg .;Then we leave out the potatoes.;1;70;coop;0;0;0;0;;;;;33;0,275;0,28333333;Recipe;Recipe
343;User Command;Recipe Selection;Recipe selection - explicit;;;aktivitaet;fertig;fertig;fertig;in;offen;offen;Naja dann machen wir dieses Spargelgratin .;Well, then we'll make this asparagus gratin.;1;70;coop;1;0;0;59;;;;;34;0,283333333;0,29166667;User Command;Recipe
1601;Preparation;Preparation Steps;All preparation steps;;;plan;fertig;in;offen;offen;offen;offen;Kannst du nochmal das mit der besseren Bewertung das Zweite vorlesen .;Can you read out the second one with the better rating.;1;70;competence;1;0;0;59;;;;;35;0,291666667;0,3;User Command;User Command
344;User Command;Recipe Selection;Recipe selection - explicit;;;plan;fertig;fertig;fertig;in;offen;offen;Also wir machen auf jeden Fall das Spargelgratin da als erstes .;So we'll definitely do the asparagus gratin first.;1;72;coop;1;0;0;59;;;;;36;0,3;0,30833333;Preparation;User Command
1881;Preparation;Preparation Steps;First few preparation steps;;;plan;fertig;in;offen;offen;offen;offen;Les mal einfach die ersten Schritte vor . Was ich machen muss .;Just read the first steps. What I have to do.;1;74;competence;1;1;0;59;;Den Spargel schälen, in mundgerechte Stücke schneiden und in wenig Salzwasser mit dem Zucker und 1 TL Butter ca. 15 Minuten zugedeckt kochen;;Spargel zubereiten;37;0,308333333;0,31666667;User Command;Preparation
2493;Cooking technique;Cooking technique - Ingredient;;;;aktivitaet;fertig;fertig;fertig;fertig;in;offen;Ok dann dann googel mal als nächstes wie man Spargel richtig schält . WEIßen Spargel .;Okay then google next how to peel asparagus properly. White asparagus.;1;78;competence;1;1;1;59;Den Spargel schälen;Den Spargel schälen, in mundgerechte Stücke schneiden und in wenig Salzwasser mit dem Zucker und 1 TL Butter ca. 15 Minuten zugedeckt kochen;Spargel schälen;Spargel zubereiten;38;0,316666667;0,325;Preparation;User Command
2494;Cooking technique;Cooking technique - Ingredient;;;;aktivitaet;fertig;fertig;in;fertig;in;offen;Wie man Spargel richtig schält also ob ich die Enden abschneiden muss . WEIßen Spargel .;How to peel asparagus properly, if I have to cut off the ends. WHITE asparagus.;1;80;competence;1;1;1;59;Den Spargel schälen;Den Spargel schälen, in mundgerechte Stücke schneiden und in wenig Salzwasser mit dem Zucker und 1 TL Butter ca. 15 Minuten zugedeckt kochen;Spargel schälen;Spargel zubereiten;39;0,325;0,33333333;Cooking technique;Preparation
2459;Cooking technique;Cooking technique - Reassurance;Cooking technique - Reassurance implicit;;;plan;fertig;in;offen;offen;offen;offen;Ja . KOMplett;Yes. Completely.;1;84;competence;1;1;1;59;Den Spargel schälen;Den Spargel schälen, in mundgerechte Stücke schneiden und in wenig Salzwasser mit dem Zucker und 1 TL Butter ca. 15 Minuten zugedeckt kochen;Spargel schälen;Spargel zubereiten;40;0,333333333;0,34166667;Cooking technique;Cooking technique
1655;Preparation;Preparation Steps;Next Preparation Step;;;aktivitaet;fertig;in;offen;offen;offen;in;Ok also jetzt hab ich ihn gewaschen und jetzt ?;Okay, so now I've washed it and now what?;1;88;competence;1;1;1;59;Den Spargel schälen;Den Spargel schälen, in mundgerechte Stücke schneiden und in wenig Salzwasser mit dem Zucker und 1 TL Butter ca. 15 Minuten zugedeckt kochen;Spargel schälen;Spargel zubereiten;41;0,341666667;0,35;Cooking technique;Cooking technique
2413;Cooking technique;Cooking technique - Reassurance;Cooking technique - Reassurance explicit;;;aktivitaet;fertig;fertig;fertig;in;offen;offen;Und die Spitze muss aber nicht weg oder ?;And the tip does not have to go away or?;1;90;competence;1;1;1;59;Den Spargel schälen;Den Spargel schälen, in mundgerechte Stücke schneiden und in wenig Salzwasser mit dem Zucker und 1 TL Butter ca. 15 Minuten zugedeckt kochen;Spargel schälen;Spargel zubereiten;42;0,35;0,35833333;Preparation;Cooking technique
2495;Cooking technique;Cooking technique - Ingredient;;;;aktivitaet;fertig;fertig;in;in;offen;offen;aber die Spitzen muss ich dranlassen also meines Wissens bleiben die Spitzen dran kannst du das mal googeln ?;but I have to leave the tips on, so as far as I know the tips stay on, can you google that?;1;92;competence;1;1;1;59;Den Spargel schälen;Den Spargel schälen, in mundgerechte Stücke schneiden und in wenig Salzwasser mit dem Zucker und 1 TL Butter ca. 15 Minuten zugedeckt kochen;Spargel schälen;Spargel zubereiten;43;0,358333333;0,36666667;Cooking technique;Preparation
2460;Cooking technique;Cooking technique - Reassurance;Cooking technique - Reassurance implicit;;;aktivitaet;fertig;fertig;in;offen;offen;offen;Also das kann dranbleiben . Offenbar .;So that can stay on. Apparently.;1;96;competence;1;1;1;59;Den Spargel schälen;Den Spargel schälen, in mundgerechte Stücke schneiden und in wenig Salzwasser mit dem Zucker und 1 TL Butter ca. 15 Minuten zugedeckt kochen;Spargel schälen;Spargel zubereiten;44;0,366666667;0,375;Cooking technique;Cooking technique
2489;Cooking technique;Cooking technique - Request for video;;;;plan,aktivitaet;in;offen;offen;offen;in;offen;Ich würde mir eigentlich lieber ein Video anschauen zum Spargelschälen geht das ?;I would actually rather watch a video on peeling asparagus is that possible ?;1;100;competence;1;1;1;59;Den Spargel schälen;Den Spargel schälen, in mundgerechte Stücke schneiden und in wenig Salzwasser mit dem Zucker und 1 TL Butter ca. 15 Minuten zugedeckt kochen;Spargel schälen;Spargel zubereiten;45;0,375;0,38333333;Cooking technique;Cooking technique
429;User Search Actions;Navigation - Switch back to recipe;;;;plan;fertig;in;offen;offen;offen;offen;Ok dann tu mal wieder das Rezept her;Ok then do again the recipe here;1;102;coop;1;0;0;59;;;;;46;0,383333333;0,39166667;Cooking technique;Cooking technique
1656;Preparation;Preparation Steps;Next Preparation Step;;;aktivitaet;fertig;fertig;fertig;in;offen;offen;Also Spargel schälen und dann in mundgerechte Stücke schneiden heißt es oder ?;So peel the asparagus and then cut it into bite-sized pieces, right?;1;102;competence;1;1;2;59;Spargel in mundgerechte Stücke schneiden;Den Spargel schälen, in mundgerechte Stücke schneiden und in wenig Salzwasser mit dem Zucker und 1 TL Butter ca. 15 Minuten zugedeckt kochen;Spargel schneiden;Spargel zubereiten;47;0,391666667;0,4;User Search Actions;Cooking technique
1657;Preparation;Preparation Steps;Next Preparation Step;;;plan;fertig;in;offen;offen;offen;offen;Weiter ?;Next ?;1;104;competence;1;2;0;59;;Die Kartoffeln in der Schale gar kochen, pellen und in Spalten schneiden.;;Kartoffeln zubereiten;48;0,4;0,40833333;Preparation;User Search Actions
1890;Preparation;Preparation Steps;Omit preperation steps;;;kein_bezug;kein_bezug;kein_bezug;kein_bezug;kein_bezug;kein_bezug;kein_bezug;Ja das ähm kannst natürlich überspringen was Kartoffeln und alles betrifft;Yes, you can of course skip that, what concerns potatoes and everything.;1;106;competence;1;3;0;59;;Den Lachs in 2 cm breite Stücke schneiden und in der Brühe und dem Wein ca. 4 Minuten dünsten. Alles gut abtropfen lassen;;Lachs zubereiten;49;0,408333333;0,41666667;Preparation;Preparation
1891;Preparation;Preparation Steps;Jump to specific preparation step;;;plan;fertig;in;offen;offen;offen;offen;Ich will äh jetzt einfach zur Soße springen;I just want to jump to the sauce.;1;108;competence;1;4;0;59;;Den zerkleinerten Kerbel mit dem geriebenen Käse, dem Ei und der Crème fraîche verrühren und mit Salz abschmecken;;Soße zubereiten;50;0,416666667;0,425;Preparation;Preparation
1892;Preparation;Preparation Steps;Jump to specific preparation step;;;plan,aktivitaet;fertig;in;offen;offen;offen;offen;Wie man die Soße zubereitet weil wir haben ja keine Kartoffeln und keinen Lachs deswegen interessiert mich nur der Spargel und nur die Soße .;How to prepare the sauce because we have no potatoes and no salmon so I'm only interested in the asparagus and only the sauce.;1;108;competence;1;4;0;59;;Den zerkleinerten Kerbel mit dem geriebenen Käse, dem Ei und der Crème fraîche verrühren und mit Salz abschmecken;;Soße zubereiten;51;0,425;0,43333333;Preparation;Preparation
892;Amount;Amount of Persons;;;;plan;fertig;fertig;in;offen;offen;offen;Für wie viel Personen ist das Rezept eigentlich das du mir da vorliest ?;For how many people is the recipe that you read to me?;1;110;fact;1;0;0;59;;;;;52;0,433333333;0,44166667;Preparation;Preparation
1602;Preparation;Preparation Steps;All preparation steps;;;plan;fertig;in;offen;offen;offen;offen;Ok und die Soße ?;Ok and the sauce?;1;116;competence;1;4;0;59;;Den zerkleinerten Kerbel mit dem geriebenen Käse, dem Ei und der Crème fraîche verrühren und mit Salz abschmecken;;Soße zubereiten;53;0,441666667;0,45;Amount;Preparation
345;User Command;Recipe Selection;Recipe selection - explicit;;;plan;fertig;fertig;fertig;in;offen;offen;Also wir MACHen schon das Spargelgratin;So we MAKE already the asparagus gratin;1;118;coop;1;0;0;59;;;;;54;0,45;0,45833333;Preparation;Amount
464;Amount;Amount of Ingredients;;;;aktivitaet;fertig;in;in;offen;offen;offen;Vor allem bei den Mengenangaben .;Especially with the quantities.;1;120;fact;1;4;1;59;Den zerkleinerten Kerbel mit dem geriebenen Käse, dem Ei und der Crème fraîche verrühren;Den zerkleinerten Kerbel mit dem geriebenen Käse, dem Ei und der Crème fraîche verrühren und mit Salz abschmecken;Kerbel mit Käse Ei und Crème fraîche verrühren;Soße zubereiten;55;0,458333333;0,46666667;User Command;Preparation
1603;Preparation;Preparation Steps;All preparation steps;;;plan;fertig;in;offen;offen;offen;offen;Kannst du mir die vorlesen;Can you read it to me;1;120;competence;1;4;1;59;Den zerkleinerten Kerbel mit dem geriebenen Käse, dem Ei und der Crème fraîche verrühren;Den zerkleinerten Kerbel mit dem geriebenen Käse, dem Ei und der Crème fraîche verrühren und mit Salz abschmecken;Kerbel mit Käse Ei und Crème fraîche verrühren;Soße zubereiten;56;0,466666667;0,475;Amount;User Command
1175;Ingredient;Ingredients in Recipe;Ingredient Existence in Recipe;Ingredient Existence in Recipe - implicit;;aktivitaet;fertig;fertig;fertig;in;offen;offen;Ok also der gehört IN die Soße;Ok so it belongs IN the sauce;1;122;fact;1;4;1;59;Den zerkleinerten Kerbel mit dem geriebenen Käse, dem Ei und der Crème fraîche verrühren;Den zerkleinerten Kerbel mit dem geriebenen Käse, dem Ei und der Crème fraîche verrühren und mit Salz abschmecken;Kerbel mit Käse Ei und Crème fraîche verrühren;Soße zubereiten;57;0,475;0,48333333;Preparation;Amount
1236;Ingredient;Ingredients in Recipe;Reassurance implicit;;;aktivitaet;fertig;fertig;fertig;in;offen;offen;Ok also der gehört IN die Soße;Ok so it goes IN the sauce;1;122;fact;1;4;1;59;Den zerkleinerten Kerbel mit dem geriebenen Käse, dem Ei und der Crème fraîche verrühren;Den zerkleinerten Kerbel mit dem geriebenen Käse, dem Ei und der Crème fraîche verrühren und mit Salz abschmecken;Kerbel mit Käse Ei und Crème fraîche verrühren;Soße zubereiten;58;0,483333333;0,49166667;Ingredient;Preparation
2692;Recipe;Recipe Retrieval;Recipe Request;Recipe Request with Ingredients;explicit;plan;in;offen;offen;offen;offen;offen;Google mal Sahne Ei Soße .;Google cream egg sauce.;1;122;fact;0;0;0;0;;;;;59;0,491666667;0,5;Ingredient;Ingredient
2650;Recipe;Recipe Retrieval;Read out result list;Read out certain recipe result;;plan;fertig;in;offen;offen;offen;offen;Was war das Erste ?;What was the first ?;1;124;fact;0;0;0;0;;;;;60;0,5;0,50833333;Recipe;Ingredient
378;User Command;Recipe Selection;Recipe selection - implicit;;;plan;in;offen;offen;offen;offen;offen;Eier in Schinken Sahne Soße .;Eggs in ham cream sauce.;1;126;coop;2;0;0;61;;;;;61;0,508333333;0,51666667;Recipe;Recipe
2605;Recipe;Recipe Summary;;;;plan;fertig;fertig;fertig;in;offen;offen;Tu mal her .;Give it to me.;1;128;fact;2;0;0;61;;;;;62;0,516666667;0,525;User Command;Recipe
2606;Recipe;Recipe Summary;;;;plan;fertig;in;offen;offen;offen;offen;Na was für Zutaten wie man es macht ?;Well, what ingredients how to make it?;1;130;fact;2;0;0;61;;;;;63;0,525;0,53333333;Recipe;User Command
1658;Preparation;Preparation Steps;Next Preparation Step;;;plan;fertig;in;offen;offen;offen;offen;Mhm ? Und jetzt;Mmm? And now...;1;132;competence;2;1,2,3;0;61;;Schinken in kleine Streifen schneiden und in der Butter leicht anbraten, ohne ihn zu bräunen. Mehl und Paprikapulver anstauben und mit der Brühe ablöschen. Die Sahne nach und nach einrühren, 5 Minuten köcheln lassen. Mit Salz und Pfeffer abschmecken und Schnittlauchröllchen zugeben. Die Eier halbiert auf Teller legen und mit der heißen Sauce übergießen.;;Schinken braten,Soße zubereiten,Gericht servieren;64;0,533333333;0,54166667;Recipe;Recipe
2496;Cooking technique;Cooking technique - Ingredient;;;;plan;fertig;fertig;in;offen;offen;offen;Wenn man vielleicht googel mal weißen Spargel anbraten;Maybe if you googled white asparagus fry?;1;134;competence;0;0;0;0;;;;;65;0,541666667;0,55;Preparation;Recipe
1659;Preparation;Preparation Steps;Next Preparation Step;;;plan;fertig;in;offen;offen;offen;offen;Mhm;Mhm;1;136;competence;3;2;2;60;Den Spargel bei mittlerer Hitze für ca. 10-12 Minuten braten und hin und wieder wenden, damit er auf allen Seiten schön braun wird.​ ;Öl in einer Pfanne erhitzen und die Spargelstangen anschließend in die Pfanne geben. Den Spargel bei mittlerer Hitze für ca. 10-12 Minuten braten und hin und wieder wenden, damit er auf allen Seiten schön braun wird.​ ;Spargel anbraten;Spargel braten;66;0,55;0,55833333;Cooking technique;Preparation
1631;Preparation;Preparation Steps;Repeat Preparation Steps;;;aktivitaet;fertig;in;offen;in;offen;offen;Äh nochmal nochmal ähm also was Butter äh Öl in einer Pfanne ?;Uh again um so what butter uh oil in a pan ?;1;138;competence;3;2;1;60;Öl in einer Pfanne erhitzen und die Spargelstangen anschließend in die Pfanne geben. ;Öl in einer Pfanne erhitzen und die Spargelstangen anschließend in die Pfanne geben. Den Spargel bei mittlerer Hitze für ca. 10-12 Minuten braten und hin und wieder wenden, damit er auf allen Seiten schön braun wird.​ ;Spargel zu Öl in Pfanne geben;Spargel braten;67;0,558333333;0,56666667;Preparation;Cooking technique
1660;Preparation;Preparation Steps;Next Preparation Step;;;plan;fertig;in;offen;offen;offen;offen;Weiter ?;Next ?;1;138;competence;3;2;2;60;Den Spargel bei mittlerer Hitze für ca. 10-12 Minuten braten und hin und wieder wenden, damit er auf allen Seiten schön braun wird.​ ;Öl in einer Pfanne erhitzen und die Spargelstangen anschließend in die Pfanne geben. Den Spargel bei mittlerer Hitze für ca. 10-12 Minuten braten und hin und wieder wenden, damit er auf allen Seiten schön braun wird.​ ;Spargel anbraten;Spargel braten;68;0,566666667;0,575;Preparation;Preparation
1926;Preparation;Preparation Steps;Preparation Step - Explicit Reassurance;;;aktivitaet;in;offen;offen;in;offen;offen;Ich würd es dann klein schneiden als kleine Stücke nicht als ganze Spragelstangen also das dauert dann kürzer oder ?;I would then cut it as small pieces not as whole asparagus spears so that takes shorter or ?;1;140;competence;3;2;2;60;Den Spargel bei mittlerer Hitze für ca. 10-12 Minuten braten und hin und wieder wenden, damit er auf allen Seiten schön braun wird.​ ;Öl in einer Pfanne erhitzen und die Spargelstangen anschließend in die Pfanne geben. Den Spargel bei mittlerer Hitze für ca. 10-12 Minuten braten und hin und wieder wenden, damit er auf allen Seiten schön braun wird.​ ;Spargel anbraten;Spargel braten;69;0,575;0,58333333;Preparation;Preparation
1893;Preparation;Preparation Steps;Jump to specific preparation step;;;plan;fertig;fertig;fertig;in;offen;offen;Und die Sahnesoße von dem anderen Gericht was du da gerade vorgelesen hast also das davor;And the cream sauce from the other dish what you have just read out there so the one before that;1;142;competence;2;2;0;61;;Mehl und Paprikapulver anstauben und mit der Brühe ablöschen. Die Sahne nach und nach einrühren, 5 Minuten köcheln lassen. Mit Salz und Pfeffer abschmecken und Schnittlauchröllchen zugeben.;;Soße zubereiten;70;0,583333333;0,59166667;Preparation;Preparation
2490;Cooking technique;Cooking technique - Question regarding specific step;;;;aktivitaet;fertig;fertig;in;offen;offen;offen;Wie viel Spa- ähm wie viel muss man nochmal vom Ende wegschneiden vom Spargel ?;How much fun- um how much do you have to cut away from the end of the asparagus ?;1;144;competence;3;1;2;60;Die holzigen Spargelenden abschneiden;Vor dem Braten den Spargel gründlich waschen und die holzigen Enden abschneiden. Weißer Spargel sollte zusätzlich geschält werden, was bei grünem Spargel nicht unbedingt notwendig ist. Beim Schälen darauf achten, dass die schmackhaften Spargelspitzen nicht zu dünn geraten oder abbrechen. Bei Bedarf kann der Spargel anschließend in Stücke geschnitten werden.​;Holzige Spargelenden abschneiden;Spargel vorbereiten;71;0,591666667;0,6;Preparation;Preparation
2414;Cooking technique;Cooking technique - Reassurance;Cooking technique - Reassurance explicit;;;aktivitaet;fertig;fertig;fertig;in;offen;offen;Zwei bis drei Zentimeter ?;Two to three centimeters?;1;146;competence;3;1;2;60;Die holzigen Spargelenden abschneiden;Vor dem Braten den Spargel gründlich waschen und die holzigen Enden abschneiden. Weißer Spargel sollte zusätzlich geschält werden, was bei grünem Spargel nicht unbedingt notwendig ist. Beim Schälen darauf achten, dass die schmackhaften Spargelspitzen nicht zu dünn geraten oder abbrechen. Bei Bedarf kann der Spargel anschließend in Stücke geschnitten werden.​;Holzige Spargelenden abschneiden;Spargel vorbereiten;72;0,6;0,60833333;Cooking technique;Preparation
