utterance;level_0;level_1;level_2;tp;absatz;seq
Also Spargel schälen und dann in mundgerechte Stücke schneiden heißt es oder? Weiter?;competence;Preparation;Preparation Steps;1;104;39
Weiter? Ja das ähm kannst natürlich überspringen was Kartoffeln und alles betrifft;competence;Preparation;Preparation Steps;1;106;40
Ja das ähm kannst natürlich überspringen was Kartoffeln und alles betrifft. Ich will äh jetzt einfach zur Soße springen;competence;Preparation;Preparation Steps;1;108;41
Ich will äh jetzt einfach zur Soße springen. Wie man die Soße zubereitet weil wir haben ja keine Kartoffeln und keinen Lachs deswegen interessiert mich nur der Spargel und nur die Soße.;competence;Preparation;Preparation Steps;1;108;42
Wie man die Soße zubereitet weil wir haben ja keine Kartoffeln und keinen Lachs deswegen interessiert mich nur der Spargel und nur die Soße. Für wie viel Personen ist das Rezept eigentlich das du mir da vorliest?;fact;Amount;Amount of Persons;1;110;43
Für wie viel Personen ist das Rezept eigentlich das du mir da vorliest? Ok und die Soße?;competence;Preparation;Preparation Steps;1;116;44
Ok und die Soße? Vor allem bei den Mengenangaben.;fact;Amount;Amount of Ingredients;1;120;45
Vor allem bei den Mengenangaben. Kannst du mir die vorlesen;competence;Preparation;Preparation Steps;1;120;46
Kannst du mir die vorlesen. Ok also der gehört IN die Soße;fact;Ingredient;Ingredients in Recipe;1;122;47
Ok also der gehört IN die Soße;fact;Ingredient;Ingredients in Recipe;1;122;48
Ok also der gehört IN die Soße. Google mal Sahne Ei Soße.;fact;Recipe;Recipe Retrieval;1;122;49
Google mal Sahne Ei Soße. Was war das Erste?;fact;Recipe;Recipe Retrieval;1;124;50
Was war das Erste? Tu mal her.;fact;Recipe;Recipe Summary;1;128;51
Tu mal her. Na was für Zutaten wie man es macht?;fact;Recipe;Recipe Summary;1;130;52
Na was für Zutaten wie man es macht? Mhm? Und jetzt;competence;Preparation;Preparation Steps;1;132;53
Mhm? Und jetzt. Wenn man vielleicht googel mal weißen Spargel anbraten;competence;Cooking technique;Cooking technique - Ingredient;1;134;54
Wenn man vielleicht googel mal weißen Spargel anbraten. Mhm;competence;Preparation;Preparation Steps;1;136;55
Mhm. Äh nochmal nochmal ähm also was Butter äh Öl in einer Pfanne?;competence;Preparation;Preparation Steps;1;138;56
Äh nochmal nochmal ähm also was Butter äh Öl in einer Pfanne? Weiter?;competence;Preparation;Preparation Steps;1;138;57
Weiter? Ich würd es dann klein schneiden als kleine Stücke nicht als ganze Spragelstangen also das dauert dann kürzer oder?;competence;Preparation;Preparation Steps;1;140;58
Ich würd es dann klein schneiden als kleine Stücke nicht als ganze Spragelstangen also das dauert dann kürzer oder? Und die Sahnesoße von dem anderen Gericht was du da gerade vorgelesen hast also das davor;competence;Preparation;Preparation Steps;1;142;59
Und die Sahnesoße von dem anderen Gericht was du da gerade vorgelesen hast also das davor. Wie viel Spa- ähm wie viel muss man nochmal vom Ende wegschneiden vom Spargel?;competence;Cooking technique;Cooking technique - Question regarding specific step;1;144;60
Wie viel Spa- ähm wie viel muss man nochmal vom Ende wegschneiden vom Spargel? Zwei bis drei Zentimeter?;competence;Cooking technique;Cooking technique - Reassurance;1;146;61
Zwei bis drei Zentimeter? Zwei bis drei.;competence;Cooking technique;Cooking technique - Reassurance;1;148;62
Zwei bis drei. Also frischer Spargel? Ein bis zwei;competence;Cooking technique;Cooking technique - Reassurance;1;150;63
Also frischer Spargel? Ein bis zwei. So dann äh les mal das Soße wieder vor;competence;Preparation;Preparation Steps;1;152;64
So dann äh les mal das Soße wieder vor. Ja lies vor?;competence;Preparation;Preparation Steps;1;154;65
Ja lies vor? Wie viel Mehl?;fact;Amount;Amount of Ingredients;1;156;66
Wie viel Mehl? Und äh wie viel Sahne und so? Also les mal die Mengenangaben vor;fact;Amount;Amount of Ingredients;1;158;67
Und äh wie viel Sahne und so? Also les mal die Mengenangaben vor. Oder für wie viel Personen ist das?;fact;Amount;Amount of Persons;1;158;68
Oder für wie viel Personen ist das? 150 Milliliter.;fact;Amount;Amount of Ingredients;1;166;69
150 Milliliter. Kommen in die Soße Rühreier rein?;fact;Ingredient;Ingredients in Recipe;1;168;70
Kommen in die Soße Rühreier rein? Die gehört aber nicht in die Soße.;fact;Ingredient;Ingredients in Recipe;1;170;71
Die gehört aber nicht in die Soße.;fact;Ingredient;Ingredients in Recipe;1;170;72
Die gehört aber nicht in die Soße. Kannst du mir nochmal die Schritte für die SOße vorlesen also und nicht mit mit Schinken anbraten sondern erst bei der Soße dann anfangen.;competence;Preparation;Preparation Steps;1;172;73
Kannst du mir nochmal die Schritte für die SOße vorlesen also und nicht mit mit Schinken anbraten sondern erst bei der Soße dann anfangen. Wie viel Brühe war es? 100 irgendwas Milliliter oder?;fact;Amount;Amount of Ingredients;1;174;74
Wie viel Brühe war es? 100 irgendwas Milliliter oder? 100 irgendwas Milliliter oder?;fact;Amount;Amount of Ingredients;1;174;75
100 irgendwas Milliliter oder? Was also ich brate jetzt dann den Spargel an und dann kommt Mehl- und Paprikapulver dazu und dann gieß ich es mit der Brühe auf.;competence;Preparation;Preparation Steps;1;176;76
Was also ich brate jetzt dann den Spargel an und dann kommt Mehl- und Paprikapulver dazu und dann gieß ich es mit der Brühe auf. Ja also dann kommt die GeMÜsebrühe dazu zu der Sahnesoße und dann kommt noch die Sahne dazu oder?;competence;Preparation;Preparation Steps;1;184;77
Ja also dann kommt die GeMÜsebrühe dazu zu der Sahnesoße und dann kommt noch die Sahne dazu oder? Ja;competence;Preparation;Preparation Steps;1;186;78
Ja. Äh tu noch mal beim Spargel anbraten schauen wie Ähm ob man den auf mittlerer Hitze anbraten muss und nochmal die Minutenzahl ich glaub sechs bis sieben Minuten.;competence;Preparation;Preparation Steps;1;188;79
Äh tu noch mal beim Spargel anbraten schauen wie Ähm ob man den auf mittlerer Hitze anbraten muss und nochmal die Minutenzahl ich glaub sechs bis sieben Minuten. ob man den auf mittlerer Hitze anbraten muss und nochmal die Minutenzahl ich glaub sechs bis sieben Minuten.;fact;Temperature;Temperature Reassurance;1;188;80
ob man den auf mittlerer Hitze anbraten muss und nochmal die Minutenzahl ich glaub sechs bis sieben Minuten. Ähm bei welcher Hitze also mittlerer Hitze starke Hitze schwache Hitze So ich mach jetzt zwischen mittel und stark.;competence;Preparation;Preparation Steps;1;190;81
Ähm bei welcher Hitze also mittlerer Hitze starke Hitze schwache Hitze So ich mach jetzt zwischen mittel und stark. Ähm bei welcher Hitze also mittlerer Hitze starke Hitze schwache Hitze;fact;Temperature;Temperature explicit;1;190;82
Ähm bei welcher Hitze also mittlerer Hitze starke Hitze schwache Hitze. Aber mittlerer Hitze das wollte ich wissen.;fact;Time;Cooking Time Reassurance;1;192;83
Aber mittlerer Hitze das wollte ich wissen. Hä? Das waren die ganzen Spargelstangen oder?;fact;Ingredient;Ingredient - Texture,Appearance;1;192;84
Hä? Das waren die ganzen Spargelstangen oder?;fact;Ingredient;Ingredient - Texture,Appearance;1;192;85
Hä? Das waren die ganzen Spargelstangen oder? Ja? Mittlere Hitze wollte ich wissen.;fact;Time;Cooking Time Reassurance;1;196;86
Ja? Mittlere Hitze wollte ich wissen. Also nochmal die Minutenzahl für KLEIN geschnittenen Spargel?;fact;Time;Cooking Time;1;196;87
Also nochmal die Minutenzahl für KLEIN geschnittenen Spargel? Die Milliliterzahl von der Gemüsebrühe;fact;Amount;Amount of Ingredients;1;198;88
Die Milliliterzahl von der Gemüsebrühe. Und bei der Sahne?;fact;Amount;Amount of Ingredients;1;200;89
Und bei der Sahne? Google mal Rühreier als Beilage wie viele pro Person;fact;Amount;Amount of Persons;1;202;90
Google mal Rühreier als Beilage wie viele pro Person. Google mal Tomaten und Spargel. Ob das zusammenpasst.;fact;Ingredient;Ingredient composition;1;208;91
Google mal Tomaten und Spargel. Ob das zusammenpasst. Also nochmal Tomaten und Spargel. Was es da so für Gerichte gibt.;fact;Recipe;Recipe Retrieval;1;208;92
Also nochmal Tomaten und Spargel. Was es da so für Gerichte gibt. Ne;fact;Recipe;Recipe Retrieval;1;210;93
Ne. Passen Rühreier zu Spargel;fact;Ingredient;Ingredient composition;1;212;94
Passen Rühreier zu Spargel. Ja kannst googeln aber;fact;Ingredient;Ingredient composition;1;214;95
Ja kannst googeln aber. Echt? Les mal vor;competence;Preparation;Preparation Steps;1;216;96
Echt? Les mal vor. Ja wie man die Soße jetzt macht.;fact;Recipe;Recipe Summary;1;220;97
Ja wie man die Soße jetzt macht. Ähm Mehl war dreiviertel Esslöffel.;fact;Amount;Amount of Ingredients;1;222;98
Ähm Mehl war dreiviertel Esslöffel.;fact;Amount;Amount of Ingredients;1;222;99
Ähm Mehl war dreiviertel Esslöffel. Und dann?;competence;Preparation;Preparation Steps;1;224;100
Und dann? Derweil kochen lassen gell?;competence;Preparation;Preparation Steps;1;224;101
Derweil kochen lassen gell? Und dann die Sahne dazugeben;competence;Preparation;Preparation Steps;1;224;102
Und dann die Sahne dazugeben. Und dann Salz und Pfeffer? oder;competence;Preparation;Preparation Steps;1;226;103
Okay. Alex Schau bitte nach Rezepten für eine Biersuppe mit ähm mit Sahne und Weißbier und Butter und Mehl.;fact;Recipe;Recipe Retrieval;2;1;1
Okay. Alex Schau bitte nach Rezepten für eine Biersuppe mit ähm mit Sahne und Weißbier und Butter und Mehl.;fact;Recipe;Recipe Retrieval;2;1;2
Okay. Alex Schau bitte nach Rezepten für eine Biersuppe mit ähm mit Sahne und Weißbier und Butter und Mehl. Kannst du mir sagen wie ich was da genau alles drin ist?;fact;Ingredient;Ingredients in Recipe;2;7;3
Kannst du mir sagen wie ich was da genau alles drin ist? Mhm?;competence;Preparation;Preparation Steps;2;11;4
Mhm? Ok das heißt erst mal Kannst du das nochmal langsam bitte machen?;competence;Preparation;Preparation Steps;2;13;5
Ok das heißt erst mal Kannst du das nochmal langsam bitte machen? Erst mal die ZuTAten dass ich die alle herräumen kann.;fact;Ingredient;Ingredients in Recipe;2;15;6
Erst mal die ZuTAten dass ich die alle herräumen kann. Also ich brauch Butter? ähm ein Ei? oder ein EiGELB glaub ich hast du gesagt?;fact;Ingredient;Ingredients in Recipe;2;21;7
Also ich brauch Butter? ähm ein Ei? oder ein EiGELB glaub ich hast du gesagt? Ähm Das heißt Sahne Eigelb Zucker Bier. Mehr ist nicht drin.;fact;Ingredient;Ingredients in Recipe;2;23;8
Ähm Das heißt Sahne Eigelb Zucker Bier. Mehr ist nicht drin.;fact;Ingredient;Ingredients in Recipe;2;23;9
Ähm Das heißt Sahne Eigelb Zucker Bier. Mehr ist nicht drin. Die kommt aber am Anfang schon mit mit rein.;fact;Ingredient;Ingredient addition point in time;2;23;10
Die kommt aber am Anfang schon mit mit rein.;fact;Ingredient;Ingredient addition point in time;2;23;11
Die kommt aber am Anfang schon mit mit rein. Also am Anfang ähm wird quasi jetzt das äh das Bier erhitzt einfach wahrscheinlich?;competence;Preparation;Preparation Steps;2;25;12
Also am Anfang ähm wird quasi jetzt das äh das Bier erhitzt einfach wahrscheinlich? Wie viel Eigelb brauch ich?;fact;Amount;Amount of Ingredients;2;27;13
Wie viel Eigelb brauch ich? Eins.;fact;Amount;Amount of Ingredients;2;29;14
Eins. Und das Eigelb mit dem Zucker vermischen?;competence;Preparation;Preparation Steps;2;37;15
Und das Eigelb mit dem Zucker vermischen? Wie viel Zucker?;fact;Amount;Amount of Ingredients;2;39;16
Wie viel Zucker? Da kommt jetzt der Zucker rein?;fact;Ingredient;Ingredients in Recipe;2;39;17
Da kommt jetzt der Zucker rein?;fact;Ingredient;Ingredients in Recipe;2;39;18
Da kommt jetzt der Zucker rein? Das wird jetzt verrührt? Das das soll man verrühren hat es geheißen oder?;competence;Preparation;Preparation Steps;2;41;19
Das wird jetzt verrührt? Das das soll man verrühren hat es geheißen oder? Ok. Und welche Hitze soll man verwenden?;fact;Temperature;Temperature explicit;2;45;20
Ok. Und welche Hitze soll man verwenden? Und was für Gewürze sind da noch mit drin?;fact;Ingredient;Ingredients in Recipe;2;49;21
Und was für Gewürze sind da noch mit drin? Das ist bloß ein Ei mit Sahne und;fact;Ingredient;Ingredients in Recipe;2;51;22
Das ist bloß ein Ei mit Sahne und. Auf niedriger Hitze jetzt kochen lassen dann.;competence;Preparation;Preparation Steps;2;55;23
Auf niedriger Hitze jetzt kochen lassen dann.;fact;Temperature;Temperature Reassurance;2;55;24
Auf niedriger Hitze jetzt kochen lassen dann. Wie kocht man eigentlich Spargel? Kannst du das mal nachschauen bitte?;competence;Cooking technique;Cooking technique - Ingredient;2;57;25
Wie kocht man eigentlich Spargel? Kannst du das mal nachschauen bitte? Mhm? Ach so meinen die wahrscheinlich dann. Hier festhalten und dann;competence;Cooking technique;Cooking technique - Reassurance;2;61;26
Mhm? Ach so meinen die wahrscheinlich dann. Hier festhalten und dann. Nicht mit zu viel Kraft.;competence;Cooking technique;Cooking technique - Reassurance;2;63;27
Nicht mit zu viel Kraft. Wie lange muss der kochen.;fact;Time;Cooking Time;2;65;28
Wie lange muss der kochen. So. Wie kocht man jetzt den Spargel. Wie lange muss der kochen.;competence;Cooking technique;Cooking technique - Ingredient;2;65;29
So. Wie kocht man jetzt den Spargel. Wie lange muss der kochen. Mhm?;competence;Preparation;Preparation Steps;2;69;30
Mhm? Also das kommt jetzt in einen Topf mit kochendem Wasser rein? Der Spargel?;competence;Preparation;Preparation Steps;2;73;31
Also das kommt jetzt in einen Topf mit kochendem Wasser rein? Der Spargel? Den tu ich dann also der muss jetzt da da rein?;competence;Preparation;Preparation Steps;2;73;32
Den tu ich dann also der muss jetzt da da rein? Zwölf bis 15 Minuten.;fact;Time;Cooking Time Reassurance;2;75;33
Zwölf bis 15 Minuten. zwölf bis also dann;fact;Time;Cooking Time;2;75;34
zwölf bis also dann. Wie lang?;fact;Time;Cooking Time;2;75;35
Wie lang? Und dann in das kochende Wasser rein und dann zwölf bis also dann;competence;Preparation;Preparation Steps;2;75;36
Und dann in das kochende Wasser rein und dann zwölf bis also dann. Ähm ziehen lassen.;competence;Preparation;Preparation Steps;2;77;37
Ähm ziehen lassen. Und der Butter kommt auch mit rein hast du gesagt.;fact;Ingredient;Ingredients in Recipe;2;79;38
Und der Butter kommt auch mit rein hast du gesagt.;competence;Preparation;Preparation Steps;2;79;39
Und der Butter kommt auch mit rein hast du gesagt. Wobei Zucker der Geschmacksträger ist.;fact;Ingredient;Purpose of Ingredient;2;81;40
Wobei Zucker der Geschmacksträger ist. Kannst du mal dann nach einem Sauce-Hollandaise-Rezept schauen?;fact;Recipe;Recipe Retrieval;2;83;41
Kannst du mal dann nach einem Sauce-Hollandaise-Rezept schauen? Mhm?;fact;Recipe;Recipe Summary;2;85;42
Mhm? Also 83 Gramm Butter.;fact;Amount;Amount of Ingredients;2;91;43
Also 83 Gramm Butter.;fact;Amount;Amount of Ingredients;2;91;44
Also 83 Gramm Butter. Äh kannst du mir nochmal sagen wie das Rezept für die Sauce Hollandaise genau geht?;competence;Preparation;Preparation Steps;2;93;45
Äh kannst du mir nochmal sagen wie das Rezept für die Sauce Hollandaise genau geht? Ins kochende Wasser dann;fact;Ingredient;Ingredient addition point in time;2;99;46
Ins kochende Wasser dann. Wann sollen wir den Spargel reintun? Ins kochende Wasser dann;fact;Ingredient;Ingredient addition point in time;2;99;47
Wann sollen wir den Spargel reintun? Ins kochende Wasser dann. und zwölf bis 15 Minuten drin lassen.;fact;Time;Cooking Time Reassurance;2;101;48
und zwölf bis 15 Minuten drin lassen. So. Der kommt jetzt da rein Kurz aufkochen lassen und dann die Hitze reduzieren und zwölf bis 15 Minuten drin lassen.;competence;Preparation;Preparation Steps;2;101;49
So. Der kommt jetzt da rein Kurz aufkochen lassen und dann die Hitze reduzieren und zwölf bis 15 Minuten drin lassen. dann die Hitze reduzieren;fact;Temperature;Temperature Reassurance;2;101;50
dann die Hitze reduzieren. Gut. Die Zutaten sind ein Eigelb 83 Gramm Butter dazu ein Esslöffel Wasser ein Esslöffel Zitronensaft Salz und Pfeffer. Und Cayenne-Pfeffer.;fact;Ingredient;Ingredients in Recipe;2;103;51
Gut. Die Zutaten sind ein Eigelb 83 Gramm Butter dazu ein Esslöffel Wasser ein Esslöffel Zitronensaft Salz und Pfeffer. Und Cayenne-Pfeffer. Ähm zunächst mal muss ich vermutlich die Butter schmelzen lassen.;competence;Preparation;Preparation Steps;2;105;52
Ähm zunächst mal muss ich vermutlich die Butter schmelzen lassen. Oder muss ich irgendwas anderes machen.;competence;Preparation;Preparation Steps;2;107;53
Oder muss ich irgendwas anderes machen. So jetzt wird also jetzt quasi auf niedriger Hitze die Butter zerlassen einfach?;competence;Preparation;Preparation Steps;2;109;54
So jetzt wird also jetzt quasi auf niedriger Hitze die Butter zerlassen einfach? Ähm also wenn die Butter geschmolzen ist quasi ohne dass man sie erhitzt hat dann rührt man da wird dann das Eigelb reingerührt?;competence;Preparation;Preparation Steps;2;111;55
Ähm also wenn die Butter geschmolzen ist quasi ohne dass man sie erhitzt hat dann rührt man da wird dann das Eigelb reingerührt? Oder was kommt dann als nächstes.;competence;Preparation;Preparation Steps;2;113;56
Oder was kommt dann als nächstes. Steht was über die Menge von Salz und Pfeffer?;fact;Amount;Amount of Ingredients;2;117;57
Steht was über die Menge von Salz und Pfeffer? Ok Salz und Pfeffer hast du gesagt?;fact;Ingredient;Ingredients in Recipe;2;117;58
Ok Salz und Pfeffer hast du gesagt?;fact;Ingredient;Ingredients in Recipe;2;117;59
Ok Salz und Pfeffer hast du gesagt? Und ein bisschen Pfeffer und der Cayenne-Pfeffer kommt am Ende erst rein oder was.;fact;Ingredient;Ingredient addition point in time;2;119;60
Und ein bisschen Pfeffer und der Cayenne-Pfeffer kommt am Ende erst rein oder was.;fact;Ingredient;Ingredient addition point in time;2;119;61
Und ein bisschen Pfeffer und der Cayenne-Pfeffer kommt am Ende erst rein oder was. dann wird jetzt das Eigelb quasi ins heiße Wasserbad gestellt?;competence;Preparation;Preparation Steps;2;121;62
dann wird jetzt das Eigelb quasi ins heiße Wasserbad gestellt? Das heißt DA kommt jetzt nichts rein und dann wird jetzt das Eigelb quasi ins heiße Wasserbad gestellt?;competence;Preparation;Preparation Steps;2;121;63
Das heißt DA kommt jetzt nichts rein und dann wird jetzt das Eigelb quasi ins heiße Wasserbad gestellt? Und was muss man jetzt mit dem Eigelb machen Im im heißen Wasserbad stehen lassen und rühren?;competence;Preparation;Preparation of Ingredient;2;123;64
Und was muss man jetzt mit dem Eigelb machen Im im heißen Wasserbad stehen lassen und rühren? Was muss man dann als nächstes machen.;competence;Preparation;Preparation Steps;2;127;65
Was muss man dann als nächstes machen. Ok aber von der HITZe nehmen;competence;Preparation;Preparation Steps;2;129;66
Ok aber von der HITZe nehmen. Und dann esslöffelhaft esslöffelweise die Butter zugeben.;competence;Preparation;Preparation Steps;2;131;67
Und dann esslöffelhaft esslöffelweise die Butter zugeben. Also ich mache es jetzt quasi richtig ich ich nimm das Ei die Eimasse her und und misch da jetzt langsam die Butter drunter und rühre das gescheit rein.;competence;Preparation;Preparation Steps;2;133;68
Also ich mache es jetzt quasi richtig ich ich nimm das Ei die Eimasse her und und misch da jetzt langsam die Butter drunter und rühre das gescheit rein. Was muss ich denn danach dann machen?;competence;Preparation;Preparation Steps;2;135;69
Was muss ich denn danach dann machen? Gut und jetzt mit Salz Pfeffer und Cayenne-Pfeffer noch;competence;Preparation;Preparation Steps;2;139;70
Ja jetzt äh da bin ich mir jetzt nicht sicher. Kann man jetzt kann man jetzt die na äh die Zucchini kann man die ungekocht muss man die vorher kochen oder kann man die roh dann;competence;Cooking technique;Cooking technique - Ingredient;3;4;1
Ja jetzt äh da bin ich mir jetzt nicht sicher. Kann man jetzt kann man jetzt die na äh die Zucchini kann man die ungekocht muss man die vorher kochen oder kann man die roh dann. Ja kannst mal fragen also die Zucchini? Ob man die irgendwie vorbraten muss oder so.;competence;Cooking technique;Cooking technique - Ingredient;3;4;2
Ja kannst mal fragen also die Zucchini? Ob man die irgendwie vorbraten muss oder so. Also Frage wäre Irgendwie für eine Gemüsesoße wie ich eine GeMÜsesoße mache ja Keine Ahnung. Eine Soße mit Gemüse drin. Wie man die zubereitet.;fact;Recipe;Recipe Retrieval;3;6;3
Also Frage wäre Irgendwie für eine Gemüsesoße wie ich eine GeMÜsesoße mache ja Keine Ahnung. Eine Soße mit Gemüse drin. Wie man die zubereitet. Also ich will eine SOße machen? Eine Soße mit Schlagsahne und Crème fraîche mit den Kidney also wie soll ich sagen ähm Kidneybohnen Zucchini drin aber wie macht man so eine GeMÜsesoße oder ja Soße einfach eine Soße. Soße mit GeMÜse.;fact;Recipe;Recipe Retrieval;3;8;4
Also ich will eine SOße machen? Eine Soße mit Schlagsahne und Crème fraîche mit den Kidney also wie soll ich sagen ähm Kidneybohnen Zucchini drin aber wie macht man so eine GeMÜsesoße oder ja Soße einfach eine Soße. Soße mit GeMÜse. Ok. Gemüsebrühe brauchen wir auf jeden Fall und was was steht noch da?;fact;Ingredient;Ingredients in Recipe;3;12;5
Ok. Gemüsebrühe brauchen wir auf jeden Fall und was was steht noch da? Ein So- kannst mal schauen eine Soße mit Schlagsahne Soße mit Schlagsahne und Crème fraîche also weißt schon oder ist das nicht zu viel dann? Crème fraîche ODER Schlagsahne?;fact;Recipe;Recipe Retrieval;3;18;6
