utterance;level_0;level_1;level_2;tp;absatz;seq
Auf niedriger Hitze jetzt kochen lassen dann.;fact;Temperature;Temperature Reassurance;2;55;24
Wie kocht man eigentlich Spargel? Kannst du das mal nachschauen bitte?;competence;Cooking technique;Cooking technique - Ingredient;2;57;25
Mhm? Ach so meinen die wahrscheinlich dann. Hier festhalten und dann;competence;Cooking technique;Cooking technique - Reassurance;2;61;26
Nicht mit zu viel Kraft.;competence;Cooking technique;Cooking technique - Reassurance;2;63;27
Wie lange muss der kochen.;fact;Time;Cooking Time;2;65;28
So. Wie kocht man jetzt den Spargel. Wie lange muss der kochen.;competence;Cooking technique;Cooking technique - Ingredient;2;65;29
Mhm?;competence;Preparation;Preparation Steps;2;69;30
Also das kommt jetzt in einen Topf mit kochendem Wasser rein? Der Spargel?;competence;Preparation;Preparation Steps;2;73;31
Den tu ich dann also der muss jetzt da da rein?;competence;Preparation;Preparation Steps;2;73;32
Zwölf bis 15 Minuten.;fact;Time;Cooking Time Reassurance;2;75;33
zwölf bis also dann;fact;Time;Cooking Time;2;75;34
Wie lang?;fact;Time;Cooking Time;2;75;35
Und dann in das kochende Wasser rein und dann zwölf bis also dann;competence;Preparation;Preparation Steps;2;75;36
Ähm ziehen lassen.;competence;Preparation;Preparation Steps;2;77;37
Und der Butter kommt auch mit rein hast du gesagt.;fact;Ingredient;Ingredients in Recipe;2;79;38
Und der Butter kommt auch mit rein hast du gesagt.;competence;Preparation;Preparation Steps;2;79;39
Wobei Zucker der Geschmacksträger ist.;fact;Ingredient;Purpose of Ingredient;2;81;40
Kannst du mal dann nach einem Sauce-Hollandaise-Rezept schauen?;fact;Recipe;Recipe Retrieval;2;83;41
Mhm?;fact;Recipe;Recipe Summary;2;85;42
Also 83 Gramm Butter.;fact;Amount;Amount of Ingredients;2;91;43
Also 83 Gramm Butter.;fact;Amount;Amount of Ingredients;2;91;44
Äh kannst du mir nochmal sagen wie das Rezept für die Sauce Hollandaise genau geht?;competence;Preparation;Preparation Steps;2;93;45
Ins kochende Wasser dann;fact;Ingredient;Ingredient addition point in time;2;99;46
Wann sollen wir den Spargel reintun? Ins kochende Wasser dann;fact;Ingredient;Ingredient addition point in time;2;99;47
und zwölf bis 15 Minuten drin lassen.;fact;Time;Cooking Time Reassurance;2;101;48
So. Der kommt jetzt da rein Kurz aufkochen lassen und dann die Hitze reduzieren und zwölf bis 15 Minuten drin lassen.;competence;Preparation;Preparation Steps;2;101;49
dann die Hitze reduzieren;fact;Temperature;Temperature Reassurance;2;101;50
Gut. Die Zutaten sind ein Eigelb 83 Gramm Butter dazu ein Esslöffel Wasser ein Esslöffel Zitronensaft Salz und Pfeffer. Und Cayenne-Pfeffer.;fact;Ingredient;Ingredients in Recipe;2;103;51
Ähm zunächst mal muss ich vermutlich die Butter schmelzen lassen.;competence;Preparation;Preparation Steps;2;105;52
Oder muss ich irgendwas anderes machen.;competence;Preparation;Preparation Steps;2;107;53
So jetzt wird also jetzt quasi auf niedriger Hitze die Butter zerlassen einfach?;competence;Preparation;Preparation Steps;2;109;54
Ähm also wenn die Butter geschmolzen ist quasi ohne dass man sie erhitzt hat dann rührt man da wird dann das Eigelb reingerührt?;competence;Preparation;Preparation Steps;2;111;55
Oder was kommt dann als nächstes.;competence;Preparation;Preparation Steps;2;113;56
Steht was über die Menge von Salz und Pfeffer?;fact;Amount;Amount of Ingredients;2;117;57
Ok Salz und Pfeffer hast du gesagt?;fact;Ingredient;Ingredients in Recipe;2;117;58
Ok Salz und Pfeffer hast du gesagt?;fact;Ingredient;Ingredients in Recipe;2;117;59
Und ein bisschen Pfeffer und der Cayenne-Pfeffer kommt am Ende erst rein oder was.;fact;Ingredient;Ingredient addition point in time;2;119;60
Und ein bisschen Pfeffer und der Cayenne-Pfeffer kommt am Ende erst rein oder was.;fact;Ingredient;Ingredient addition point in time;2;119;61
dann wird jetzt das Eigelb quasi ins heiße Wasserbad gestellt?;competence;Preparation;Preparation Steps;2;121;62
Das heißt DA kommt jetzt nichts rein und dann wird jetzt das Eigelb quasi ins heiße Wasserbad gestellt?;competence;Preparation;Preparation Steps;2;121;63
Und was muss man jetzt mit dem Eigelb machen Im im heißen Wasserbad stehen lassen und rühren?;competence;Preparation;Preparation of Ingredient;2;123;64
Was muss man dann als nächstes machen.;competence;Preparation;Preparation Steps;2;127;65
Ok aber von der HITZe nehmen;competence;Preparation;Preparation Steps;2;129;66
Und dann esslöffelhaft esslöffelweise die Butter zugeben.;competence;Preparation;Preparation Steps;2;131;67
Also ich mache es jetzt quasi richtig ich ich nimm das Ei die Eimasse her und und misch da jetzt langsam die Butter drunter und rühre das gescheit rein.;competence;Preparation;Preparation Steps;2;133;68
Was muss ich denn danach dann machen?;competence;Preparation;Preparation Steps;2;135;69
Gut und jetzt mit Salz Pfeffer und Cayenne-Pfeffer noch;competence;Preparation;Preparation Steps;2;139;70
Ja jetzt äh da bin ich mir jetzt nicht sicher. Kann man jetzt kann man jetzt die na äh die Zucchini kann man die ungekocht muss man die vorher kochen oder kann man die roh dann;competence;Cooking technique;Cooking technique - Ingredient;3;4;1
Ja kannst mal fragen also die Zucchini? Ob man die irgendwie vorbraten muss oder so.;competence;Cooking technique;Cooking technique - Ingredient;3;4;2
Also Frage wäre Irgendwie für eine Gemüsesoße wie ich eine GeMÜsesoße mache ja Keine Ahnung. Eine Soße mit Gemüse drin. Wie man die zubereitet.;fact;Recipe;Recipe Retrieval;3;6;3
Also ich will eine SOße machen? Eine Soße mit Schlagsahne und Crème fraîche mit den Kidney also wie soll ich sagen ähm Kidneybohnen Zucchini drin aber wie macht man so eine GeMÜsesoße oder ja Soße einfach eine Soße. Soße mit GeMÜse.;fact;Recipe;Recipe Retrieval;3;8;4
Ok. Gemüsebrühe brauchen wir auf jeden Fall und was was steht noch da?;fact;Ingredient;Ingredients in Recipe;3;12;5
Ein So- kannst mal schauen eine Soße mit Schlagsahne Soße mit Schlagsahne und Crème fraîche also weißt schon oder ist das nicht zu viel dann? Crème fraîche ODER Schlagsahne?;fact;Recipe;Recipe Retrieval;3;18;6
Also kann man trotzdem äh der Schmand ist das Gleiche wie saure Sahne;fact;Ingredient;Ingredient Substitution;3;24;7
Muss ich das unbedingt verwenden?;fact;Miscellaneous;Question regarding experiment;3;26;8
Also Kidneybohnen die verwende ich mal nicht dazu weil da bin ich mir echt nicht sicher ob das da dazupasst.;fact;Ingredient;Ingredient composition;3;30;9
Also Kidneybohnen die verwende ich mal nicht dazu weil da bin ich mir echt nicht sicher ob das da dazupasst.;fact;Ingredient;Ingredient composition;3;30;10
Aber du kannst einmal noch schauen wie lang man den ich weiß nicht wie lange man den Spargel kochen muss. Ob das wie bei den Nudeln ist mit zehn Minuten ungefähr oder länger oder so;fact;Time;Cooking Time;3;34;11
15 bis 20 Minuten.;fact;Time;Cooking Time Reassurance;3;38;12
Im im äh sprudelnd heißem Wasser oder;competence;Cooking technique;Cooking technique - Reassurance;3;40;13
Und kommt da dann noch ein äh äh äh weiß nicht muss man in das Wasser dann ein Salz reintun oder irgend so was?;competence;Cooking technique;Cooking technique - Question regarding specific step;3;42;14
Ähm kannst du mal schauen ob man Zucchini abschälen muss? Oder ob man die nur abwascht? Oder die anmacht?Oder ob das ist wie bei der Gurke dass man da so abschälen tut;competence;Cooking technique;Cooking technique - Ingredient;3;44;15
Also man braucht es nicht schälen wie eine Gurke.;competence;Cooking technique;Cooking technique - Reassurance;3;46;16
Wie lange sind wir schon unterwegs?;fact;Time;Passed Time;3;48;17
Wie ist denn das eigentlich mit dem Couscous? Wie lange muss denn der;fact;Time;Cooking Time;3;50;18
Wie viel Gramm Spargel nimmt man da pro Person normalerweise?;fact;Amount;Amount of Ingredients;3;50;19
Was heißt es da?;fact;Amount;Amount of Ingredients;3;52;20
FÜNFhundert Gramm weißen Spargel pro Person?;fact;Amount;Amount of Ingredients;3;54;21
FÜNFhundert Gramm weißen Spargel pro Person?;fact;Amount;Amount of Ingredients;3;54;22
Ok. Also 500 Gramm pro Person?;fact;Amount;Amount of Ingredients;3;56;23
Ok. Also 500 Gramm pro Person?;fact;Amount;Amount of Ingredients;3;56;24
Abschälen muss man den schon vorher den Spargel oder? Nehm ich mal an;competence;Cooking technique;Cooking technique - Ingredient;3;58;25
Also den kann man nicht einfach so reinschmeißen.;competence;Cooking technique;Cooking technique - Reassurance;3;60;26
Wie ist denn das da oben mit dem Kopf da muss man den auch muss man den auch zuschneiden?;competence;Cooking technique;Cooking technique - Ingredient;3;62;27
Warum muss man den eigentlich schälen?;fact;Knowledge;Knowledge Ingredient;3;66;28
Kannst du mal noch schauen bei Gemüsebrühe wie viel Wasser dass man da nimmt?;fact;Amount;Amount of Ingredients;3;66;29
Ich sage warum muss man den schälen weil der so eine harte Haut hat oder?;fact;Knowledge;Knowledge Ingredient;3;68;30
Äh Bitterstoffe?;fact;Knowledge;Knowledge - Chemical Elements;3;70;31
Achso das ist wie bei der Kartoffel dann wo?;fact;Ingredient;Ingredient Comparison;3;72;32
Äh wie viel Wasser muss man da nehmen?;fact;Amount;Amount of Ingredients;3;74;33
Wenn man den Spargel kocht wie viel WASSer braucht man da?;fact;Amount;Amount of Ingredients;3;76;34
Also zuerst das Wasser und dann? Äh;competence;Preparation;Preparation Steps;3;80;35
Ach schon gleich von Anfang an;fact;Ingredient;Ingredient addition point in time;3;82;36
Ach schon gleich von Anfang an;fact;Ingredient;Ingredient addition point in time;3;82;37
Ach schon gleich von Anfang an;competence;Preparation;Preparation Steps;3;82;38
Achso zuerst zuerst äh äh;competence;Preparation;Preparation Order;3;84;39
Also zuerst muss das Wasser sprudeln.;competence;Preparation;Preparation Steps;3;86;40
Also zuerst muss das Wasser sprudeln.;competence;Preparation;Preparation Order;3;86;41
Und wie viel Salz muss da rein? So Prise oder? Wahrscheinlich;fact;Amount;Amount of Ingredients;3;88;42
So Prise oder? Wahrscheinlich;fact;Amount;Amount of Ingredients;3;88;43
Also muss man? muss man äh muss man wenn man wenn man Paprika oder Zucchini für eine Soße in eine Soße gibt muss das vorher angebraten werden?;competence;Cooking technique;Cooking technique - Ingredient;3;94;44
Mit WASSer andünsten.;competence;Preparation;Preparation Steps;3;98;45
Und andünsten dann.;competence;Preparation;Preparation Steps;3;100;46
Also auch in heißes Wasser geben oder?;competence;Preparation;Preparation Steps;3;100;47
Fett und Fett und Ding ist AUCH scheiße. Fett und Wasser.;fact;Ingredient;Ingredient composition;3;104;48
Fett und Fett und Ding ist AUCH scheiße. Fett und Wasser.;fact;Ingredient;Ingredient composition;3;104;49
Kannst einmal schauen Alexander Andünsten was das eigentlich genau bedeutet?;fact;Knowledge;Knowledge - Cooking technique;3;110;50
deswegen weiß ich nicht genau wie lange man das dann kochen muss oder so. Oder dünsten muss.;fact;Time;Steaming Time;3;112;51
deswegen weiß ich nicht genau wie lange man das dann kochen muss oder so. Oder dünsten muss.;fact;Time;Cooking Time;3;112;52
Und jetzt äh Viertel Stunde hast du gesagt oder?;fact;Time;Cooking Time Reassurance;3;114;53
Viertel Stunde bis zwanzig Minuten.;fact;Time;Cooking Time Reassurance;3;116;54
Äh weißt du noch wie lange das Dünsten geht steht da auch was drin?;fact;Time;Steaming Time;3;118;55
Und ein Liter Wasser hat es geheißen oder?;fact;Amount;Amount of Ingredients;3;120;56
In einem Liter kochendem Wasser aufgießen.;fact;Amount;Amount of Ingredients;3;120;57
Und ein Liter Wasser hat es geheißen oder?;fact;Amount;Amount of Ingredients;3;120;58
In einem Liter kochendem Wasser aufgießen.;fact;Amount;Amount of Ingredients;3;120;59
Und ein Liter Wasser hat es geheißen oder?;competence;Preparation;Preparation Steps;3;120;60
In einem Liter kochendem Wasser aufgießen.;competence;Preparation;Preparation Steps;3;120;61
Äh wo ich noch ein bisschen unsicher bin ist wie man die Soße macht. Also äh wie man praktisch die SOße zubereitet.;competence;Preparation;Preparation Steps;3;122;62
Äh äh. Praktisch eine Sahnesoße oder Gemüse-Sahne-Soße oder also so so wie gerade mit der Pasta da wo du gesagt hast ähm weißt schon mit der Pasta mit der mit der Sahnesoße dazu.;fact;Recipe;Recipe Retrieval;3;124;63
Den Mozzarella da beim Mozzarella das Wasser kommt weg gell und das wird dann bloß so geschnitten;fact;Ingredient;Ingredient - Proper Usage;3;128;64
Ach ja Äh kannst einmal noch schauen äh wann der Spargel durch ist? Also weißt schon beim Kuchen da sticht man ja manchmal so rein? Wann WIE kann man feststellen dass der Spargel. gut DURCHgekocht ist oder so. ja.;competence;Cooking technique;Cooking technique - Ingredient;3;130;65
Und wie überprüft man den?;competence;Cooking technique;Technical methods;3;132;66
Achja jetzt wenn die SOße nicht SÄmig wird was mach ich da? Wenn ich zu viel Wasser habe?;competence;Cooking technique;Technical methods;3;134;67
Ich befürchte da gibt es irgendein Bindemittel.;competence;Cooking technique;Technical methods;3;136;68
Aber du könntest schauen wie lange BROKKoli braucht. Bis er DURCH ist.;fact;Time;Cooking Time;4;4;1
Eine Minute.;fact;Time;Cooking Time Reassurance;4;8;2
Und dann schau noch wie viel Gramm Brokkoli eine Portion sind?;fact;Amount;Amount of Ingredients;4;10;3
Wie viel hast du gesagt 350 Gramm Brokkoli;fact;Amount;Amount of Ingredients;4;28;4
350 Gramm Brokkoli;fact;Amount;Amount of Ingredients;4;28;5
Ok. Und dann schau mal bitte noch wie man Brokkoli wäscht.;competence;Cooking technique;Cooking technique - Ingredient;4;30;6
Oder schau was man alles wegschneiden kann.;competence;Cooking technique;Cooking technique - Ingredient;4;32;7
Mhm?;competence;Cooking technique;Cooking technique - Next Step;4;34;8
Ok.;competence;Cooking technique;Cooking technique - Next Step;4;36;9
Ok.;competence;Cooking technique;Cooking technique - Next Step;4;38;10
Ok.;competence;Cooking technique;Cooking technique - Next Step;4;40;11
Und dann google mal woran man erkennt dass Brokkoli durch ist.;competence;Cooking technique;Cooking technique - Ingredient;4;48;12
Also aber er soll er soll weich sein.;competence;Cooking technique;Cooking technique - Reassurance;4;52;13
Alex gib mir Such- ähm Kochvorschläge für Brokkoli. Zum Beispiel. Ok. Ja.;fact;Recipe;Recipe Retrieval;5;2;1
Ähm Suchvorschläge mit vielleicht Couscous?;fact;Recipe;Recipe Retrieval;5;8;2
Ok was ist in Couscoussalat lecker würzig drin?;fact;Ingredient;Ingredients in Recipe;5;10;3
Sind da weitere Vorschläge mit Couscous?;fact;Recipe;Recipe Retrieval;5;12;4
Ok machen wir mal Rezeptvorschläge mit Kichererbsen;fact;Recipe;Recipe Retrieval;5;18;5
Ok? was ist da drin? Couscous mit Kichererbsen?;fact;Ingredient;Ingredients in Recipe;5;22;6
Ja dann was muss ich dafür tun?;fact;Recipe;Recipe Summary;5;26;7
Und wie viel Couscous?;fact;Amount;Amount of Ingredients;5;28;8
Beziehungsweise wie viel Personen ist das Rezept?;fact;Amount;Amount of Persons;5;28;9
Wie viel? 25 125.;fact;Amount;Amount of Ingredients;5;32;10
25 125.;fact;Amount;Amount of Ingredients;5;32;11
Also nochmal? Was soll ich?;fact;Recipe;Recipe Summary;5;34;12
